Epoch,Train_MAE,Val_MAE
0,417.4861596148947,462.06944274902344
1,405.9302806024966,441.41058349609375
2,396.86223967179006,455.88938903808594
3,396.3861004373302,439.775146484375
4,394.4217582370924,440.8135528564453
5,388.03492736816406,442.4259338378906
6,386.16935000212294,441.5722351074219
7,390.3162788722826,441.79608154296875
8,389.5704053795856,454.97560119628906
9,387.9569450046705,444.02789306640625
10,380.4349020253057,449.5572204589844
11,381.1420155400815,441.18870544433594
12,378.1819524350374,446.0450744628906
13,375.8722627059273,443.4090118408203
14,391.1601456351902,435.81690979003906
15,375.5279076617697,437.2521209716797
16,376.1482451065727,457.1200714111328
17,377.1698236880095,444.9572296142578
18,377.9090403681216,442.3332061767578
19,375.8991420579993,445.9568634033203
20,372.29092009171194,455.70082092285156
21,378.2491256050442,456.2947692871094
22,373.03110072923744,443.29376220703125
23,377.43519393257475,444.99224853515625
24,381.8713339100713,451.6065673828125
25,371.4344163977581,451.4861755371094
26,376.05724168860394,444.2538146972656
27,369.3408601180367,447.3747253417969
28,378.6965411642323,454.70384216308594
29,381.5663876740829,449.6842956542969
30,375.2224174167799,453.79286193847656
31,368.60846743376356,457.9150848388672
32,373.8657571543818,442.8033142089844
33,379.4694485871688,445.0644226074219
34,372.6089742909307,448.89988708496094
35,367.6423359746518,458.4226989746094
36,366.80475848654044,460.1149597167969
37,377.2024682086447,446.0509796142578
38,377.66324117909306,449.44972229003906
39,376.52354630180025,449.47625732421875
40,364.2451397439708,453.3260803222656
41,379.02926370371944,446.57421875
42,367.9893626337466,464.1292266845703
43,375.48951124108356,458.87123107910156
44,363.3581609311311,458.31410217285156
45,371.4517782460088,442.55799865722656
46,365.3462816321331,453.4733581542969
47,369.8059745456861,459.26344299316406
48,376.94483748726225,449.3829345703125
49,365.97303572944975,455.4316711425781
50,366.593318109927,448.6201934814453
51,370.63762233568275,448.106201171875
52,372.99827642026156,445.17681884765625
53,363.67626820439875,452.66880798339844
54,366.30352186120075,453.1862335205078
55,369.29309347401494,452.40797424316406
56,368.9930618949558,449.94407653808594
57,361.6150127908458,450.9258575439453
58,367.5567693295686,467.13710021972656
59,364.7022996985394,452.7652130126953
60,370.46090432871944,448.7010192871094
61,360.64128245478094,456.4053955078125
62,369.0175622027853,447.1482238769531
63,362.3431316873302,457.1803741455078
64,369.87800133746606,454.91502380371094
65,374.4087351923404,458.8838653564453
66,370.27659009850544,450.81764221191406
67,362.42745308254075,449.4494934082031
68,365.032470703125,454.4320983886719
69,368.6787772800611,456.8352813720703
70,364.8894241996433,455.931884765625
71,363.0952672543733,452.62001037597656
72,367.96324224057406,446.9862060546875
73,367.4780167289402,452.14215087890625
74,364.4932277513587,451.66162109375
75,362.6995809803838,450.9968566894531
76,369.19927182404894,452.8212890625
77,366.9836465586787,452.37376403808594
78,363.1001281738281,457.73121643066406
79,360.70618604577106,463.2599334716797
80,356.3110895571501,457.5581512451172
81,363.6244254734205,452.65350341796875
82,362.63452612835425,460.052490234375
83,363.80559904679006,453.57232666015625
84,362.93675829016644,459.32981872558594
85,370.0822939665421,454.95970153808594
86,366.4675717561141,456.92430114746094
87,357.315001114555,450.0577392578125
88,358.91802580460256,458.67559814453125
89,368.63559291673744,451.43833923339844
90,365.7798408840014,452.7149200439453
91,360.3166046142578,453.4801940917969
92,365.0368731954823,456.00477600097656
93,365.8525284476902,458.71287536621094
94,370.5501125169837,457.3053741455078
95,364.2059047533118,456.92588806152344
96,365.0277776303499,458.4204406738281
97,363.6185262928838,462.3323211669922
98,360.26215992803156,459.6947479248047
99,359.33251488727075,456.72959899902344
100,365.3485704504925,461.04193115234375
101,363.7789625084919,452.6825714111328
102,363.8705590289572,459.8568420410156
103,358.11317841903025,458.37586975097656
104,361.9949898097826,460.8345031738281
105,359.71845278532606,462.1575622558594
106,367.8433400029721,450.4306182861328
107,351.7847555409307,457.2698059082031
108,361.9193460215693,462.0765075683594
109,360.64835390837294,457.6154022216797
110,358.07765131411344,457.0068817138672
111,358.7144350798234,447.3282012939453
112,360.14568892769194,461.75404357910156
113,366.74708955184275,452.50213623046875
114,364.86673836086106,466.4303436279297
115,356.64167055876356,458.0602111816406
116,355.4798066512398,458.4031219482422
117,358.5335268766984,460.89666748046875
118,360.87116075598675,460.42286682128906
119,349.71922965671706,465.92860412597656
120,366.66307134213656,457.7647705078125
121,364.6853604524032,454.3833465576172
122,365.67960258152175,452.6069641113281
123,358.70368493121606,456.41004943847656
124,361.21094081712806,459.9438018798828
125,359.22624737283456,464.2511291503906
126,358.09176967454994,459.15869140625
127,359.2623476774796,455.4610900878906
128,357.26111702297044,461.64825439453125
129,351.0080267864725,463.3766784667969
130,364.6675229279891,451.70994567871094
131,351.38808673361075,459.88848876953125
132,361.5521319845448,450.42840576171875
133,363.9299780804178,464.1500549316406
134,351.29810897163725,457.3807830810547
135,360.80520696225375,455.0967559814453
136,353.78060116975206,463.48533630371094
137,362.0613615616508,461.6068420410156
138,351.8158828071926,465.5796813964844
139,355.8470631475034,458.71295166015625
140,357.779332699983,457.8352813720703
141,356.0612368376359,453.78431701660156
142,356.6598086149796,460.85679626464844
143,353.14905713952106,469.4521484375
144,362.35663903277856,463.5444030761719
145,347.5244459069294,462.8976745605469
146,360.34078316066575,458.5185089111328
147,353.2793950619905,456.20391845703125
148,354.2349176821501,460.4391174316406
149,361.7985521399456,452.70277404785156
150,359.3097507642663,453.2813415527344
151,359.9998235287874,459.02552795410156
152,360.6867397142493,449.02752685546875
153,347.505939649499,454.6192169189453
154,354.95801643703294,458.71775817871094
155,352.80556720236075,460.6994171142578
156,360.7581614618716,456.62559509277344
157,359.0920589281165,449.8056640625
158,355.8171632186226,456.96185302734375
159,353.4682491136634,462.5312042236328
160,351.6337585449219,459.47047424316406
161,355.8843655793563,453.47894287109375
162,348.7268000063689,464.92169189453125
163,359.6899573284647,451.5905303955078
164,350.0224556300951,452.4326934814453
165,357.50167581309444,452.56642150878906
166,356.4081155528193,457.0022430419922
167,353.0744993790336,454.0557403564453
168,353.43427309782606,458.5767059326172
169,354.4148592741593,456.3045959472656
170,357.8920500382133,454.2294464111328
171,349.9819030761719,451.03807067871094
172,352.4257640009341,455.17323303222656
173,356.6017270295516,452.9236755371094
174,354.984014759893,451.6414489746094
175,346.8064104163128,458.0730895996094
