Epoch,Train_MAE,Val_MAE
0,468.558641516644,377.80738830566406
1,451.9043831203295,368.3791809082031
2,443.4860295834749,347.83436584472656
3,428.0741072944973,370.97044372558594
4,417.3370620064114,370.01800537109375
5,422.8262010657269,358.6423797607422
6,420.2019441024117,369.4837341308594
7,409.4087139627208,377.63897705078125
8,403.04494708517325,345.7932586669922
9,402.70807946246606,399.44773864746094
10,400.32990696119225,346.2799530029297
11,408.7767732039742,356.8652038574219
12,413.2082745095958,360.3213348388672
13,404.15457949431044,378.8695373535156
14,403.5207718558933,371.49363708496094
15,396.9618517004925,360.23423767089844
16,396.85389510444975,367.8029327392578
17,406.1836136527683,370.7010192871094
18,399.6850930918818,366.53057861328125
19,398.7620902683424,376.9966583251953
20,399.22418809973675,370.8428955078125
21,400.0514075237772,371.58815002441406
22,396.67391304347825,374.5350036621094
23,396.2571358058764,379.08729553222656
24,394.14134813391644,372.41127014160156
25,394.1099097210428,354.45574951171875
26,392.03875334366506,379.29437255859375
27,395.7074969747792,356.9727325439453
28,393.638951840608,356.4541015625
29,393.51792974057406,362.25128173828125
30,399.2876162321671,349.29515075683594
31,395.55574898097825,355.83702087402344
32,388.5709387737772,381.7065124511719
33,393.59048727284306,363.9273376464844
34,395.0016426418139,360.4002685546875
35,392.107153851053,359.75555419921875
36,390.32412388013756,358.40870666503906
37,389.0582089631454,372.9236297607422
38,395.38620923913044,365.92189025878906
39,391.82289057192594,364.4773864746094
40,394.63686735733694,354.4870300292969
41,392.2439999787704,363.5868377685547
42,395.9029142960258,357.88124084472656
43,388.74785779870075,362.85203552246094
44,397.74231222401494,355.3308563232422
45,395.31737352454144,358.35870361328125
46,395.9494562563689,364.3938751220703
47,386.67427129330844,352.02874755859375
48,389.66687277088994,348.9024658203125
49,386.55745796535325,355.67042541503906
50,388.518286663553,361.67945861816406
51,389.67425139054006,359.5913391113281
52,391.1602305536685,345.51051330566406
53,384.50080141813856,352.8130340576172
54,384.6150419815727,324.14410400390625
55,405.1661655591882,378.27728271484375
56,413.88113071607506,366.12120056152344
57,402.56642747961956,340.8846740722656
58,403.2637342370075,337.7764892578125
59,403.4180085555367,358.98182678222656
60,389.9465564230214,363.76490783691406
61,398.08998041567594,351.2217102050781
62,389.72326925526494,348.24671936035156
63,385.51625658118206,347.9690704345703
64,386.77445519488793,363.07757568359375
65,392.2417031993037,346.4072570800781
66,388.52499920388925,349.3915100097656
67,388.6469169284986,363.6347198486328
68,389.8047817064368,369.74607849121094
69,383.6250437860904,356.29563903808594
70,391.59565005095106,351.4578552246094
71,388.07522848378056,352.7084503173828
72,388.8000169836956,351.0430450439453
73,384.60362309994906,352.2861785888672
74,391.798351785411,346.36041259765625
75,385.91572239087975,344.40521240234375
76,383.6463404116423,349.64263916015625
77,387.9143889054008,355.8429870605469
78,384.61600527556044,343.73875427246094
79,392.0327971085258,345.4841003417969
80,386.4126772673234,342.8540496826172
81,381.6144740892493,363.17921447753906
82,384.3255854067595,351.377685546875
83,384.2336478855299,364.8495178222656
84,386.3235566512398,359.6104278564453
85,384.2576957370924,357.81459045410156
86,388.2555966584579,356.64231872558594
87,385.2939652152683,353.1260223388672
88,382.3963331139606,353.6015930175781
89,383.06449425738793,356.40956115722656
90,382.24051102347994,355.7242431640625
91,385.6516007133152,356.312744140625
92,381.6298284115999,364.6862030029297
93,385.0138987665591,362.0404510498047
94,383.5231416121773,354.9644317626953
95,384.27778293775475,358.9253234863281
96,383.7048419454823,366.5345764160156
97,387.2316191300102,358.685546875
98,393.91938317340356,365.5715637207031
99,386.4433633555537,356.3574523925781
100,380.1516060207201,361.52586364746094
101,385.04412974482,363.36424255371094
102,384.5328727390455,357.402099609375
103,379.76406462296194,357.7041015625
104,377.1110906186311,364.5351104736328
105,377.152111551036,362.8253936767578
106,380.76268204398775,359.56300354003906
107,384.4519149116848,355.68402099609375
108,377.78691830842394,365.8294982910156
109,382.0835518215014,366.0502624511719
110,381.7626157014266,360.0787353515625
111,377.2902195142663,358.4630126953125
112,386.69999628481656,356.0483093261719
113,382.7161666206692,369.58628845214844
114,384.04680003290594,359.0133056640625
115,380.5372413966967,361.5101776123047
116,381.5552182404891,368.71998596191406
117,380.2130803647249,355.12037658691406
118,375.5095758852751,360.2164306640625
119,381.3740911069124,357.6195983886719
120,378.11266957158625,363.0141143798828
121,381.88101992399794,356.9637451171875
122,381.34958416482675,353.0272674560547
123,380.1332848590353,366.4585723876953
124,379.0011649753736,356.2388916015625
125,378.555860436481,357.4582214355469
126,380.43421338952106,360.42669677734375
127,376.9265189792799,360.49021911621094
128,379.76480898649794,364.12921142578125
129,381.2299725076427,367.63853454589844
130,382.39098855723506,361.5646057128906
131,382.6100132154382,355.7748718261719
132,375.49652895720106,370.30780029296875
133,381.12216584578806,360.05670166015625
134,378.9580250615659,360.71775817871094
135,376.6660196055537,358.84059143066406
136,380.8186552628227,356.78977966308594
137,379.7069396972656,358.8143615722656
138,378.518694670304,358.2360076904297
139,381.56235271951425,363.5301971435547
140,378.4396800165591,359.1574401855469
141,379.2856106965438,362.3416442871094
142,377.6238695227581,358.2019958496094
143,378.214331585428,366.7883605957031
144,385.1947379734205,360.5815124511719
145,380.26532115107,358.81385803222656
146,378.4723072881284,358.62928771972656
147,377.1075001592221,360.42333984375
148,376.97933893618375,363.4606475830078
149,380.21861466117525,360.01942443847656
150,379.9030443274456,361.46868896484375
151,375.9517344599185,350.6429138183594
152,379.05987747855806,362.86773681640625
153,376.9313089121943,350.12510681152344
154,378.73767355213994,358.30625915527344
155,375.9110863727072,359.9360656738281
156,379.1145961595618,354.48545837402344
157,379.64093017578125,352.5893859863281
158,376.6151142949643,365.322265625
159,383.5744403341542,357.70655822753906
160,375.42564591117525,356.5827331542969
161,378.85459302819294,362.0179138183594
162,375.89737203846806,355.4427795410156
163,378.1950285538383,360.65277099609375
164,377.584008258322,355.5419464111328
165,378.35147360096806,357.33274841308594
166,381.03332784901494,353.4576110839844
167,381.1328589397928,367.02076721191406
168,374.3410704239555,354.1931915283203
169,378.87483082646906,361.2228698730469
170,376.58294677734375,354.9099578857422
171,377.90490457286006,356.9540252685547
172,379.6321663234545,363.0095520019531
173,379.1052345607592,346.9703063964844
174,377.231885827106,360.78118896484375
175,377.99997346297556,358.37046813964844
176,379.72602379840356,363.04515075683594
177,376.9126149053159,352.82684326171875
178,375.9528025751529,369.90147399902344
179,381.3178246539572,353.00010681152344
180,376.78577588952106,363.20042419433594
181,373.27359274159306,357.5624694824219
182,378.026111105214,359.5819091796875
183,378.20487511676293,358.0187530517578
184,377.3181231954823,360.53721618652344
185,378.321741518767,359.49937438964844
186,376.9377136230469,354.9454803466797
187,377.091260827106,358.19529724121094
188,379.1347828740659,359.4120178222656
189,381.27792889138925,356.5010070800781
190,373.4144884192425,351.0046844482422
191,378.32630323327106,357.5401611328125
192,373.89444235096806,354.55555725097656
193,383.804187277089,355.6746063232422
194,383.7996892514436,360.6781921386719
195,380.1011405613111,359.6743469238281
196,381.94145667034644,345.5333251953125
197,376.8540118673573,369.45794677734375
198,379.6862832774287,360.912109375
199,382.93986842943275,359.52227783203125
200,377.0032680345618,358.3015899658203
201,378.08083575704825,357.7104187011719
202,376.70749830163044,364.9477996826172
203,377.7564776876698,362.3514862060547
204,374.01753301205844,360.724365234375
205,378.7648501188859,361.1698303222656
206,377.4766003152599,355.03106689453125
207,377.45732581097144,357.3291320800781
208,375.3195867123811,357.87620544433594
209,378.93146548063856,356.0509948730469
210,380.8412289826766,357.1272430419922
211,375.6123352050781,353.7811584472656
212,376.3830287767493,353.2513732910156
213,374.9908752441406,358.2084503173828
214,378.8243461277174,355.18505859375
215,379.3147490128227,359.12147521972656
216,373.25290315047556,356.8013610839844
217,378.19882732888925,355.5308074951172
218,376.4181067425272,356.5794372558594
219,377.978491741678,352.16790771484375
220,379.42668085512906,350.9253387451172
221,375.8286053201427,350.45277404785156
222,377.42751677139944,356.922607421875
223,381.2617346722147,362.9820861816406
224,377.2052784795346,357.7722930908203
225,377.99336972443956,350.76356506347656
226,375.2204510232677,355.20289611816406
227,378.06133900518,356.9959259033203
228,380.1231251592221,357.56541442871094
229,376.45393039869225,353.34934997558594
230,372.5680873704993,361.46717834472656
231,378.1439752993376,354.5892791748047
232,375.90458214801293,357.5688934326172
233,375.7427135965099,355.9392395019531
234,378.368884542714,354.51397705078125
235,376.1666153617527,353.1593780517578
236,376.7373206097147,355.7677001953125
237,378.3910336701766,359.1775207519531
238,380.2085757048234,352.2968444824219
239,375.1319102411685,354.2435607910156
240,373.58407990828806,354.7367706298828
241,375.7791933806046,354.5227508544922
242,373.16580996306044,355.7071533203125
243,376.1851249363111,347.15684509277344
244,378.1192043138587,351.9639434814453
245,374.27663255774456,355.2637023925781
246,376.59039306640625,360.95753479003906
247,384.3841207753057,315.4010925292969
248,400.3111930515455,328.1836242675781
249,395.22493445354957,333.26861572265625
250,395.5944479237432,347.02366638183594
251,383.9230976934018,357.6301574707031
252,383.6441530974015,358.4605407714844
253,378.85628210979957,349.7108917236328
254,383.6843606700068,380.1484680175781
255,390.37882133152175,361.7898712158203
256,389.6760200832201,358.73216247558594
257,384.3191116996433,351.27333068847656
258,380.39383730681044,360.5522918701172
259,381.84662263289744,366.19102478027344
260,377.226586383322,362.9463195800781
261,383.59855983568275,357.0438995361328
262,377.5745265794837,352.76148986816406
263,386.34830773395043,348.8937530517578
264,378.90810759171194,355.513916015625
265,379.040491518767,358.96339416503906
266,380.1069508428159,361.24407958984375
267,381.61606233016306,360.1372375488281
268,377.6819511081861,360.13824462890625
269,385.3976188327955,356.8764343261719
270,379.353515625,351.3477325439453
271,381.9999416185462,364.87054443359375
272,380.05498206097144,362.3052978515625
273,384.7004699707031,354.60791015625
274,383.83510954483694,358.12664794921875
275,378.4956160835598,353.4569396972656
276,384.37664927607,377.5666809082031
277,381.27775109332543,362.2070770263672
278,376.47758815599525,360.1561584472656
279,378.89169245180875,360.0438995361328
280,377.3342583697775,358.3808288574219
281,379.1661416758662,356.74562072753906
282,381.05889892578125,370.325439453125
283,377.26572186013925,352.8338165283203
284,378.9808787470279,359.8114318847656
285,376.9828637164572,360.0166015625
286,378.70963917607844,356.36582946777344
287,375.9688375721807,359.3033752441406
288,386.07817409349525,359.13002014160156
289,384.88358340056044,353.16192626953125
290,383.2936547320822,359.22235107421875
291,383.6094798212466,350.16017150878906
292,382.50961701766306,361.39991760253906
293,382.96533468495244,353.4407958984375
294,379.288714201554,353.9211883544922
295,376.3417093028193,359.98626708984375
296,383.39670728600544,356.2872619628906
297,375.15490457286006,354.23826599121094
298,379.6920099673064,353.0940856933594
299,375.8932707413383,354.71502685546875
300,381.5391766092052,357.1890106201172
301,378.2910076638927,350.3111267089844
302,379.9022216796875,359.08265686035156
303,380.10766468877375,362.46287536621094
304,384.0375034498132,351.4842224121094
305,375.5645406971807,353.64552307128906
306,381.1300473420516,361.6203155517578
307,373.1983562967052,352.44212341308594
308,380.8544218643852,362.12840270996094
309,379.6606763756794,361.0322723388672
310,379.40346891983694,358.4953308105469
311,378.84654302182406,358.91993713378906
312,377.3159405252208,358.0172576904297
313,379.0749312691067,362.9503936767578
314,378.79104083517325,350.2463073730469
315,377.7899833347486,354.81494140625
316,378.60452933933425,358.2685852050781
317,377.0491518766984,349.91468811035156
318,378.9535708220109,354.7920684814453
319,382.91777502972144,355.552734375
320,375.9782608695652,359.7386016845703
321,378.9126440960428,353.7539520263672
322,376.73582524838656,362.48248291015625
323,376.07462343962294,358.06304931640625
324,376.89523846170175,362.3854064941406
325,374.72896542756456,355.8833312988281
326,377.756067690642,359.243896484375
327,375.2295439346977,358.6336364746094
328,375.1116359544837,353.6889343261719
329,375.2235890264096,357.36480712890625
330,374.3866212264351,362.10704040527344
331,381.2342363440472,353.41822814941406
332,374.2693308954654,349.01953125
333,376.39564315132475,346.0595245361328
334,376.1697095788044,356.7578430175781
335,377.84340501868206,354.22291564941406
336,377.104748269786,356.47991943359375
337,374.1691138226053,368.5212097167969
338,377.38544762652856,359.89671325683594
339,376.06002144191575,364.7644500732422
340,378.83220374065894,349.8057403564453
341,373.384973940642,349.71189880371094
342,372.1584054698115,354.09376525878906
343,375.6076235563859,357.2920227050781
344,374.2973699155061,354.61412048339844
345,373.50864178201425,349.3504180908203
346,380.7208291758662,352.9493103027344
347,378.97489464801293,391.01564025878906
348,424.7262759001359,364.5629119873047
349,398.18182505732,382.279052734375
350,401.9776253078295,376.07879638671875
351,397.2254452912704,369.5335998535156
352,392.61686640200406,372.9595947265625
353,391.4363516102666,366.29576110839844
354,387.7480760657269,356.2088928222656
355,378.7359035326087,375.96356201171875
356,390.8079780910326,367.6334991455078
357,382.5845589015795,375.00189208984375
358,384.4229975161345,361.2181396484375
359,386.8505063264266,351.13720703125
360,395.5326033882473,347.51405334472656
361,396.63163690981656,360.3336639404297
362,391.7468155570652,376.6867370605469
363,383.50338081691575,344.48988342285156
364,380.7289614470109,361.0234832763672
365,376.88586691151494,353.12147521972656
366,376.9511081861413,351.5175323486328
367,377.660424273947,355.8278045654297
368,378.51820174507475,349.79542541503906
369,376.3592164412789,358.89610290527344
370,376.8155053180197,351.45599365234375
371,377.9610874341882,349.7920837402344
372,377.4677455736243,354.8057098388672
373,394.19126958432406,388.7684020996094
374,400.21012015964675,373.6560974121094
375,375.5612355107846,378.5865478515625
376,381.5970737623132,357.52638244628906
377,375.08188994034475,367.4981689453125
378,370.89862060546875,368.91986083984375
379,372.97820646866506,372.83164978027344
380,377.54982989767325,368.7117614746094
381,376.47128030528194,362.4147491455078
382,375.04893095596975,363.1378173828125
383,376.2025670590608,368.0143280029297
384,375.04955789317256,361.86231994628906
385,372.27579796832543,358.9052276611328
386,375.7790805982507,358.4423522949219
