TestTime,Amps,Volts,Temp 1
0.0,-2.799878,3.994507,
0.1600000001490116,-2.800031,3.993286,
0.27999999979510903,-2.800031,3.99237,
0.5,-2.800183,3.990845,
0.7700000000186265,-2.800031,3.989624,
1.1099999998696148,-2.799878,3.988708,
1.4799999999813735,-2.800183,3.987488,
1.9500000001862645,-2.799725,3.986267,
2.6200000001117587,-2.799878,3.985046,
3.2299999999813735,-2.799878,3.984131,
3.919999999925494,-2.799878,3.983215,
4.540000000037253,-2.800031,3.9823,
5.2000000001862645,-2.800031,3.981079,
6.410000000149012,-2.799878,3.980163,
7.430000000167638,-2.800031,3.978943,
8.919999999925494,-2.799878,3.978027,
10.149999999906868,-2.800031,3.976806,
12.049999999813735,-2.800031,3.975891,
13.350000000093132,-2.799878,3.97467,
16.149999999906868,-2.800031,3.973754,
17.43999999994412,-2.800031,3.972839,
19.260000000242144,-2.799878,3.971923,
21.640000000130385,-2.800031,3.971008,
24.430000000167638,-2.800183,3.970092,
27.390000000130385,-2.799725,3.969177,
30.43999999994412,-2.800031,3.968261,
33.27999999979511,-2.800183,3.967346,
36.080000000074506,-2.799878,3.96643,
40.04000000003725,-2.800031,3.965515,
43.760000000242144,-2.799878,3.964294,
48.12999999988824,-2.800183,3.963378,
52.080000000074506,-2.799725,3.962463,
56.609999999869615,-2.800183,3.961547,
61.200000000186265,-2.799878,3.960632,
66.76000000024214,-2.799878,3.959716,
71.70000000018626,-2.799725,3.958801,
77.62000000011176,-2.799725,3.957885,
82.62000000011176,-2.799878,3.95697,
87.85999999986961,-2.799725,3.955749,
93.85999999986961,-2.799878,3.954833,
99.70999999996275,-2.799878,3.953918,
106.35000000009313,-2.799725,3.953002,
111.52000000001863,-2.800031,3.952087,
118.10000000009313,-2.800031,3.951171,
124.64000000013039,-2.799878,3.950256,
130.87999999988824,-2.799878,3.94934,
137.37999999988824,-2.800183,3.948425,
143.75,-2.799725,3.947509,
148.81000000005588,-2.799878,3.946593,
153.839999999851,-2.800031,3.945373,
162.089999999851,-2.799878,3.944457,
167.910000000149,-2.799878,3.943542,
175.95000000018626,-2.800031,3.942321,
182.79000000003725,-2.800183,3.941405,
188.089999999851,-2.800336,3.94049,
194.31000000005588,-2.800183,3.939574,
200.35000000009313,-2.800031,3.938659,
204.20000000018626,-2.800031,3.937743,
208.79000000003725,-2.799878,3.936828,
213.95999999996275,-2.799878,3.935912,
219.81999999983236,-2.800031,3.934997,
224.26000000024214,-2.800031,3.934081,
228.1699999999255,-2.800031,3.933165,
233.7200000002049,-2.800031,3.931945,
239.39000000013039,-2.800031,3.931029,
244.8300000000745,-2.800031,3.930114,
247.31999999983236,-2.800031,3.928893,
253.39999999990687,-2.800031,3.927977,
257.6099999998696,-2.800031,3.927062,
261.0299999997951,-2.800031,3.926146,
265.3599999998696,-2.799725,3.925231,
269.68000000016764,-2.799878,3.924315,
273.51000000024214,-2.800183,3.9234,
277.70000000018626,-2.800183,3.922484,
280.87999999988824,-2.799878,3.921569,
284.2299999999814,-2.800183,3.920348,
288.839999999851,-2.800031,3.919432,
292.45000000018626,-2.799878,3.918517,
295.8900000001304,-2.800031,3.917601,
299.04999999981374,-2.799878,3.916686,
302.589999999851,-2.800183,3.91577,
306.2200000002049,-2.799878,3.914549,
310.8900000001304,-2.800031,3.913329,
315.12000000011176,-2.799725,3.912413,
317.5299999997951,-2.800031,3.911498,
320.4399999999441,-2.800031,3.910582,
323.3900000001304,-2.800031,3.909667,
327.25,-2.800031,3.908751,
330.589999999851,-2.799878,3.90753,
334.9399999999441,-2.799878,3.906615,
337.81999999983236,-2.799878,3.905699,
340.3599999998696,-2.799725,3.904784,
343.56999999983236,-2.800031,3.903868,
346.5800000000745,-2.800183,3.902647,
350.160000000149,-2.800031,3.901732,
353.2799999997951,-2.799878,3.900816,
356.2799999997951,-2.800031,3.899901,
359.2200000002049,-2.799878,3.898985,
362.6400000001304,-2.799878,3.897765,
366.2799999997951,-2.799878,3.896849,
368.87999999988824,-2.799878,3.895933,
371.56999999983236,-2.800183,3.895018,
374.0299999997951,-2.799878,3.894102,
376.70999999996275,-2.800183,3.892882,
380.79000000003725,-2.799878,3.891966,
383.3900000001304,-2.800183,3.891051,
386.089999999851,-2.800183,3.890135,
389.39999999990687,-2.799878,3.88922,
392.20000000018626,-2.800031,3.888304,
394.68000000016764,-2.799878,3.887388,
397.37000000011176,-2.799878,3.886168,
400.089999999851,-2.799725,3.885252,
402.8100000000559,-2.800031,3.884337,
405.589999999851,-2.800183,3.883421,
408.81999999983236,-2.800031,3.882506,
411.35000000009313,-2.800031,3.88159,
414.0299999997951,-2.800031,3.880674,
