TestTime,Amps,Volts,Temp 1
0.0,-2.800031,4.010681,
0.1600000001490116,-2.799878,4.00824,
0.3300000000745058,-2.800031,4.007019,
0.5400000000372529,-2.800031,4.005798,
0.9100000001490116,-2.799878,4.004578,
1.2700000000186265,-2.800183,4.003357,
1.7600000000093132,-2.800183,4.002441,
2.1200000001117587,-2.800031,4.001221,
2.640000000130385,-2.799878,4.000305,
3.340000000083819,-2.800031,3.999084,
3.8500000000931323,-2.800183,3.998169,
4.640000000130385,-2.800031,3.997253,
5.350000000093132,-2.800031,3.996033,
6.5200000000186265,-2.800031,3.995117,
7.510000000009313,-2.799878,3.994202,
8.479999999981374,-2.800031,3.993286,
9.53000000002794,-2.800183,3.99237,
10.919999999925494,-2.800031,3.99115,
12.510000000009313,-2.800031,3.990234,
14.150000000139698,-2.799725,3.989014,
16.350000000093132,-2.799878,3.988098,
17.860000000102445,-2.800031,3.987182,
20.050000000046566,-2.800183,3.986267,
22.449999999953434,-2.799725,3.985351,
24.93999999994412,-2.800183,3.984436,
27.570000000065193,-2.799878,3.98352,
30.43999999994412,-2.799878,3.982605,
32.699999999953434,-2.800031,3.981384,
36.16000000014901,-2.800031,3.980468,
39.67999999993481,-2.800031,3.979553,
42.52000000001863,-2.800183,3.978637,
47.37000000011176,-2.800031,3.977722,
51.0,-2.800183,3.976501,
55.96999999997206,-2.799878,3.975586,
60.75,-2.800031,3.97467,
64.89000000013039,-2.800183,3.973754,
69.41000000014901,-2.799878,3.972534,
74.1699999999255,-2.800183,3.971618,
79.53000000002794,-2.800031,3.970703,
84.42999999993481,-2.800031,3.969787,
89.9199999999255,-2.800031,3.968872,
95.86000000010245,-2.800183,3.967956,
99.98999999999069,-2.800031,3.967041,
105.60000000009313,-2.800031,3.966125,
111.37000000011176,-2.800183,3.965209,
116.56000000005588,-2.799725,3.964294,
121.86000000010245,-2.799878,3.963378,
126.87000000011176,-2.800031,3.962463,
132.04000000003725,-2.799878,3.961547,
138.14000000013039,-2.800031,3.960632,
144.19999999995343,-2.800031,3.959716,
149.4000000001397,-2.799725,3.958801,
156.06000000005588,-2.800031,3.957885,
160.56000000005588,-2.800031,3.95697,
166.12000000011176,-2.799725,3.956054,
169.77000000001863,-2.799878,3.955138,
175.5800000000745,-2.800183,3.954223,
181.6500000001397,-2.800183,3.953307,
186.0100000000093,-2.800031,3.952087,
192.35000000009313,-2.800183,3.951171,
197.4199999999255,-2.800031,3.950256,
202.910000000149,-2.799878,3.94934,
207.39000000013039,-2.799878,3.948425,
212.13000000012107,-2.800183,3.947509,
215.10000000009313,-2.800031,3.946593,
219.410000000149,-2.800183,3.945678,
224.160000000149,-2.799878,3.944762,
228.54000000003725,-2.799878,3.943847,
232.97999999998137,-2.800031,3.942931,
237.53000000002794,-2.800031,3.942016,
241.72999999998137,-2.800031,3.9411,
245.18999999994412,-2.800183,3.940185,
249.5800000000745,-2.799878,3.939269,
253.45999999996275,-2.800031,3.938354,
256.6799999999348,-2.800031,3.937438,
260.04000000003725,-2.800031,3.936217,
265.5900000000838,-2.799878,3.934997,
269.8200000000652,-2.799878,3.934081,
273.5,-2.799878,3.933165,
277.36000000010245,-2.800031,3.93225,
280.29000000003725,-2.800031,3.931334,
284.5100000000093,-2.799878,3.930114,
287.9199999999255,-2.800183,3.929198,
291.29000000003725,-2.799573,3.928283,
294.8400000000838,-2.800183,3.927367,
298.5600000000559,-2.800031,3.926452,
301.80000000004657,-2.799878,3.925536,
305.5600000000559,-2.799725,3.92462,
308.69999999995343,-2.800031,3.923705,
311.6699999999255,-2.800031,3.922789,
314.8200000000652,-2.799878,3.921874,
317.85000000009313,-2.800031,3.920348,
322.53000000002794,-2.799878,3.919432,
325.4899999999907,-2.800031,3.918517,
328.8200000000652,-2.799878,3.917601,
331.75,-2.800031,3.916686,
334.3800000001211,-2.799878,3.91577,
337.5900000000838,-2.800031,3.914855,
341.6899999999441,-2.799725,3.913634,
345.46999999997206,-2.800183,3.912413,
348.10000000009313,-2.799878,3.911498,
351.0,-2.800031,3.910582,
353.9799999999814,-2.800031,3.909667,
356.9799999999814,-2.800031,3.908751,
360.4199999999255,-2.799878,3.907836,
362.87000000011176,-2.799878,3.90692,
365.70999999996275,-2.799725,3.906004,
368.61000000010245,-2.799878,3.905089,
371.61000000010245,-2.799878,3.904173,
374.1400000001304,-2.800031,3.903258,
376.4000000001397,-2.800031,3.902342,
379.0200000000186,-2.800031,3.901427,
382.29000000003725,-2.799878,3.900511,
385.12000000011176,-2.799878,3.899596,
388.0600000000559,-2.800183,3.89868,
390.7600000000093,-2.799878,3.897765,
393.7600000000093,-2.800031,3.896849,
396.2299999999814,-2.800183,3.895933,
398.9199999999255,-2.800183,3.895018,
401.30000000004657,-2.799878,3.894102,
403.4299999999348,-2.799725,3.893187,
406.94999999995343,-2.800031,3.892271,
409.04000000003725,-2.799878,3.891356,
412.19999999995343,-2.800336,3.89044,
415.03000000002794,-2.799878,3.889525,
417.7700000000186,-2.800183,3.888304,
421.44999999995343,-2.799878,3.887388,
423.96999999997206,-2.800031,3.886473,
425.5800000000745,-2.800183,3.885557,
428.5200000000186,-2.799725,3.884642,
431.60000000009313,-2.799878,3.883726,
433.87000000011176,-2.800183,3.882811,
436.37000000011176,-2.800031,3.881895,
438.9199999999255,-2.800031,3.88098,
441.6400000001304,-2.799878,3.880064,
444.36000000010245,-2.799878,3.879149,
446.8900000001304,-2.799725,3.878233,
449.2399999999907,-2.799878,3.877317,
451.5100000000093,-2.799878,3.876402,
453.5600000000559,-2.799878,3.875486,
456.21999999997206,-2.800031,3.874571,
458.7399999999907,-2.800183,3.873655,
461.6899999999441,-2.800031,3.87274,
464.46999999997206,-2.799878,3.871824,
466.8900000001304,-2.800031,3.870909,
469.3300000000745,-2.799878,3.869993,
472.1899999999441,-2.800031,3.869078,
474.19999999995343,-2.800183,3.868162,
476.94999999995343,-2.799878,3.866941,
480.9899999999907,-2.800031,3.865721,
483.70999999996275,-2.800031,3.864195,
487.9899999999907,-2.800183,3.863279,
490.8100000000559,-2.799878,3.862364,
493.75,-2.800183,3.861448,
496.0800000000745,-2.799725,3.860533,
498.7399999999907,-2.800183,3.859617,
500.4399999999441,-2.800031,3.858701,
503.55000000004657,-2.799725,3.857786,
505.9299999999348,-2.800183,3.85687,
508.3900000001304,-2.800031,3.855955,
511.3400000000838,-2.799878,3.855039,
513.6300000001211,-2.799878,3.854124,
516.6100000001024,-2.799878,3.853208,
519.1799999999348,-2.800183,3.852293,
522.2199999999721,-2.800031,3.851072,
524.2900000000373,-2.800183,3.850156,
527.5200000000186,-2.800031,3.849241,
530.0100000000093,-2.800183,3.848325,
532.9299999999348,-2.800183,3.84741,
535.9499999999534,-2.800031,3.846494,
538.1799999999348,-2.800031,3.845579,
541.2900000000373,-2.800183,3.844663,
544.410000000149,-2.799878,3.843442,
547.8400000000838,-2.799725,3.842222,
550.8300000000745,-2.800031,3.841306,
553.3600000001024,-2.800031,3.840391,
556.0300000000279,-2.799725,3.839475,
558.9699999999721,-2.799878,3.83856,
562.2800000000279,-2.800183,3.837644,
565.2600000000093,-2.799878,3.836728,
567.8500000000931,-2.800031,3.835813,
570.3900000001304,-2.800031,3.834897,
572.5400000000373,-2.800183,3.833982,
574.8400000000838,-2.799725,3.833066,
578.6999999999534,-2.799878,3.831846,
582.4599999999627,-2.799878,3.83093,
584.8100000000559,-2.799725,3.830014,
587.8500000000931,-2.800031,3.828794,
591.8400000000838,-2.800031,3.827878,
595.0400000000373,-2.800183,3.826963,
598.3300000000745,-2.800031,3.826047,
600.7900000000373,-2.800031,3.825132,
602.9799999999814,-2.800031,3.823911,
607.3600000001024,-2.800336,3.822995,
610.3700000001118,-2.800183,3.821775,
614.5300000000279,-2.800031,3.820859,
617.6200000001118,-2.799725,3.819944,
620.5800000000745,-2.800031,3.819028,
623.3100000000559,-2.799878,3.818112,
627.1699999999255,-2.799878,3.817197,
629.2700000000186,-2.800031,3.815976,
632.8700000001118,-2.799878,3.815061,
636.5200000000186,-2.800031,3.814145,
639.8500000000931,-2.799725,3.81323,
643.1200000001118,-2.800031,3.812314,
645.9899999999907,-2.800183,3.811398,
649.160000000149,-2.799878,3.810483,
652.6000000000931,-2.799878,3.809567,
655.9199999999255,-2.799878,3.808652,
659.4199999999255,-2.800031,3.807431,
663.3000000000466,-2.800183,3.806516,
666.9899999999907,-2.800183,3.8056,
670.1899999999441,-2.799878,3.804685,
673.7099999999627,-2.800031,3.803769,
677.4499999999534,-2.800031,3.802853,
680.9299999999348,-2.800031,3.801938,
684.6300000001211,-2.800031,3.801022,
687.6400000001304,-2.800031,3.800107,
690.9000000001397,-2.800031,3.799191,
693.6699999999255,-2.800031,3.798276,
697.1999999999534,-2.800031,3.79736,
701.1200000001118,-2.800031,3.796445,
705.25,-2.799878,3.795529,
708.6799999999348,-2.799878,3.794308,
713.3800000001211,-2.800031,3.793393,
717.1300000001211,-2.799878,3.792477,
721.0200000000186,-2.800031,3.791562,
725.0700000000652,-2.799878,3.790341,
728.6200000001118,-2.800031,3.789425,
732.2399999999907,-2.800031,3.78851,
736.2800000000279,-2.800031,3.787594,
739.9199999999255,-2.799725,3.786679,
744.0200000000186,-2.800031,3.785763,
748.0100000000093,-2.800031,3.784848,
751.5100000000093,-2.800031,3.783932,
755.7299999999814,-2.799878,3.783017,
760.1000000000931,-2.800183,3.781796,
764.3300000000745,-2.799878,3.78088,
767.4699999999721,-2.799878,3.779965,
771.910000000149,-2.800031,3.779049,
775.9499999999534,-2.800031,3.778134,
780.2199999999721,-2.800183,3.777218,
784.1400000001304,-2.800183,3.776303,
788.6899999999441,-2.800031,3.775387,
792.1500000001397,-2.799878,3.774472,
796.6799999999348,-2.800031,3.773556,
800.4399999999441,-2.800183,3.772641,
803.5900000000838,-2.800031,3.77142,
808.1799999999348,-2.800183,3.770504,
813.3400000000838,-2.799878,3.769589,
817.4799999999814,-2.800031,3.768673,
821.4799999999814,-2.800183,3.767758,
826.3200000000652,-2.799878,3.766842,
830.5900000000838,-2.799878,3.765927,
834.0700000000652,-2.799878,3.764706,
838.6300000001211,-2.800031,3.76379,
842.8700000001118,-2.800031,3.762875,
847.5500000000466,-2.799878,3.761959,
851.7399999999907,-2.800031,3.761044,
855.9699999999721,-2.800031,3.760128,
860.3700000001118,-2.799878,3.758907,
865.2299999999814,-2.799878,3.757992,
869.7700000000186,-2.800183,3.757076,
874.1500000001397,-2.799725,3.756161,
878.2800000000279,-2.799878,3.755245,
880.8200000000652,-2.800031,3.75433,
884.9899999999907,-2.800031,3.753414,
889.5400000000373,-2.800183,3.752499,
893.9699999999721,-2.800183,3.751583,
898.1200000001118,-2.799878,3.750668,
902.6699999999255,-2.799878,3.749752,
906.1500000001397,-2.800031,3.748836,
910.6300000001211,-2.799725,3.747921,
915.1100000001024,-2.799725,3.747005,
917.3800000001211,-2.800031,3.74609,
921.9599999999627,-2.800031,3.745174,
925.6100000001024,-2.800031,3.744259,
930.160000000149,-2.799878,3.743343,
933.9199999999255,-2.799878,3.742428,
938.3500000000931,-2.799878,3.741512,
942.6799999999348,-2.799878,3.740597,
946.6699999999255,-2.800336,3.739681,
949.9399999999441,-2.799878,3.738766,
953.8500000000931,-2.800031,3.73785,
957.1300000001211,-2.799878,3.736934,
961.6100000001024,-2.800183,3.736019,
965.6999999999534,-2.800031,3.735103,
969.8400000000838,-2.799725,3.734188,
973.4699999999721,-2.800031,3.733272,
977.4899999999907,-2.800031,3.732052,
982.9399999999441,-2.800031,3.731136,
987.2700000000186,-2.799878,3.73022,
990.7199999999721,-2.800183,3.729,
995.0200000000186,-2.800183,3.727779,
1000.5400000000373,-2.799878,3.726864,
1004.1699999999255,-2.800031,3.725948,
1008.3100000000559,-2.800183,3.725032,
1011.5500000000466,-2.800183,3.724117,
1015.4599999999627,-2.800031,3.723201,
1019.9199999999255,-2.799878,3.722286,
1023.7399999999907,-2.799878,3.72137,
1027.4399999999441,-2.800031,3.720455,
1030.3400000000838,-2.799878,3.719539,
1034.2099999999627,-2.799878,3.718624,
1037.2900000000373,-2.799878,3.717708,
1041.6699999999255,-2.800031,3.716487,
1046.8600000001024,-2.799878,3.715572,
1050.5,-2.800031,3.714351,
1054.880000000121,-2.799878,3.713436,
1058.8100000000559,-2.799878,3.71252,
1061.1400000001304,-2.799878,3.711604,
1065.4599999999627,-2.800031,3.710689,
1068.8300000000745,-2.800031,3.709773,
1072.5,-2.800336,3.708858,
1075.9000000001397,-2.800031,3.707942,
1080.0800000000745,-2.800183,3.707027,
1083.5600000000559,-2.799878,3.706111,
1087.9199999999255,-2.800031,3.704891,
1092.5,-2.799725,3.703975,
1095.3100000000559,-2.799878,3.702754,
1099.3400000000838,-2.800031,3.701839,
1103.660000000149,-2.800183,3.700618,
1108.3900000001304,-2.799878,3.699702,
1111.9000000001397,-2.800031,3.698787,
1115.3000000000466,-2.800031,3.697871,
1118.8200000000652,-2.799878,3.696956,
1122.3900000001304,-2.800031,3.69604,
1126.0,-2.800031,3.695125,
1128.7299999999814,-2.800031,3.693904,
1132.3200000000652,-2.799725,3.692988,
1136.8300000000745,-2.800031,3.692073,
1140.6000000000931,-2.799878,3.691157,
1143.4000000001397,-2.799878,3.690242,
1147.1799999999348,-2.800183,3.689326,
1151.030000000028,-2.800183,3.688411,
1154.4199999999255,-2.799878,3.687495,
1157.7700000000186,-2.799878,3.68658,
1160.7900000000373,-2.800031,3.685664,
1163.3000000000466,-2.800183,3.684749,
1166.660000000149,-2.799878,3.683833,
1169.8300000000745,-2.799878,3.682918,
1173.8600000001024,-2.800031,3.682002,
1177.3700000001118,-2.800031,3.681086,
1180.7099999999627,-2.800031,3.680171,
1183.7299999999814,-2.800031,3.679255,
1187.2700000000186,-2.799725,3.67834,
1190.25,-2.800031,3.677424,
1193.030000000028,-2.800031,3.676509,
1196.8300000000745,-2.800031,3.675593,
1200.1100000001024,-2.799878,3.674678,
1203.530000000028,-2.800031,3.673762,
1206.25,-2.799878,3.672847,
1209.5900000000838,-2.800031,3.671931,
1213.0200000000186,-2.800183,3.671015,
1216.3600000001024,-2.799878,3.6701,
1220.3100000000559,-2.800031,3.669184,
1222.780000000028,-2.799725,3.668269,
1225.410000000149,-2.800031,3.667353,
1228.25,-2.800183,3.666438,
1232.1799999999348,-2.800031,3.665217,
1236.7299999999814,-2.800031,3.663996,
1240.8300000000745,-2.799878,3.663081,
1243.5100000000093,-2.800031,3.662165,
1247.1000000000931,-2.800183,3.66125,
1250.2399999999907,-2.799878,3.660334,
1252.8700000001118,-2.800031,3.659113,
1256.880000000121,-2.800183,3.658198,
1260.0500000000466,-2.799725,3.657282,
1262.7600000000093,-2.799878,3.656367,
1266.6899999999441,-2.800031,3.655451,
1269.7600000000093,-2.800031,3.654536,
1273.1500000001397,-2.799878,3.653315,
1277.3400000000838,-2.800031,3.652399,
1280.5,-2.800031,3.651484,
1282.9799999999814,-2.800183,3.650568,
1286.1400000001304,-2.799878,3.649653,
1289.219999999972,-2.799878,3.648737,
1292.4499999999534,-2.799878,3.647517,
1296.4299999999348,-2.800031,3.646601,
1299.4399999999441,-2.799878,3.645686,
1303.0400000000373,-2.800031,3.64477,
1306.0,-2.799878,3.643854,
1309.630000000121,-2.800031,3.642939,
1311.5100000000093,-2.799725,3.642023,
1314.9199999999255,-2.800031,3.641108,
1318.3100000000559,-2.800183,3.640192,
1321.1200000001118,-2.799725,3.639277,
1324.1000000000931,-2.800183,3.638056,
1328.5700000000652,-2.799725,3.63714,
1331.5900000000838,-2.799878,3.63592,
1335.6000000000931,-2.800031,3.635004,
1338.6699999999255,-2.800031,3.634089,
1341.1200000001118,-2.799725,3.632868,
1344.3600000001024,-2.800031,3.631952,
1347.6899999999441,-2.799878,3.631037,
1351.130000000121,-2.800031,3.629816,
1354.9299999999348,-2.800031,3.628901,
1358.0900000000838,-2.800031,3.627985,
1360.630000000121,-2.799878,3.626764,
1365.469999999972,-2.800183,3.625849,
1367.8100000000559,-2.800031,3.624933,
1370.6100000001024,-2.800031,3.624018,
1373.530000000028,-2.800031,3.623102,
1375.780000000028,-2.800031,3.622187,
1379.3200000000652,-2.800183,3.620966,
1383.5,-2.799878,3.62005,
1386.1699999999255,-2.800031,3.619135,
1389.5900000000838,-2.800031,3.618219,
1392.5400000000373,-2.800031,3.616999,
1396.0100000000093,-2.799725,3.616083,
1398.4899999999907,-2.799725,3.615167,
1401.8200000000652,-2.800031,3.613947,
1405.280000000028,-2.799878,3.613031,
1408.469999999972,-2.800031,3.61181,
1412.4799999999814,-2.800031,3.610895,
1415.5700000000652,-2.800031,3.609979,
1418.530000000028,-2.799878,3.609064,
1421.5400000000373,-2.800031,3.608148,
1423.3100000000559,-2.799878,3.607233,
1426.1799999999348,-2.799878,3.606317,
1429.8700000001118,-2.799878,3.605402,
1432.7700000000186,-2.799878,3.604486,
1435.7399999999907,-2.799878,3.603571,
1438.4000000001397,-2.799878,3.602655,
1441.9000000001397,-2.799725,3.60174,
1444.7700000000186,-2.800031,3.600824,
1448.3700000001118,-2.799878,3.599908,
1450.5200000000186,-2.800031,3.598993,
1452.6799999999348,-2.799878,3.598077,
1455.1699999999255,-2.800031,3.597162,
1459.0200000000186,-2.800031,3.596246,
1462.1500000001397,-2.799878,3.595331,
1464.9799999999814,-2.799878,3.594415,
1468.2299999999814,-2.799725,3.5935,
1470.7900000000373,-2.800031,3.592584,
1473.8700000001118,-2.800183,3.591669,
1476.5100000000093,-2.800031,3.590448,
1479.6400000001304,-2.800031,3.589532,
1483.4899999999907,-2.799725,3.588617,
1486.2399999999907,-2.800031,3.587701,
1488.6699999999255,-2.799878,3.586786,
1492.5,-2.800031,3.58587,
1495.8000000000466,-2.800031,3.584955,
1498.6699999999255,-2.799878,3.584039,
1501.9599999999627,-2.799725,3.583124,
1504.9599999999627,-2.799878,3.582208,
1507.1400000001304,-2.799878,3.581292,
1509.6400000001304,-2.799878,3.580377,
1513.0200000000186,-2.799878,3.579461,
1516.5800000000745,-2.799878,3.578546,
1519.1100000001024,-2.800183,3.57763,
1522.3300000000745,-2.800031,3.576715,
1525.9299999999348,-2.800031,3.575494,
1529.9299999999348,-2.800031,3.574578,
1533.4299999999348,-2.800031,3.573663,
1536.0200000000186,-2.800183,3.572442,
1539.1500000001397,-2.800183,3.571221,
1543.780000000028,-2.799878,3.570001,
1547.5200000000186,-2.799878,3.569085,
1551.0,-2.800031,3.56817,
1554.630000000121,-2.799878,3.567254,
1557.6899999999441,-2.799878,3.566339,
1561.1899999999441,-2.799725,3.565423,
