TestTime,Amps,Volts
0.0,-2.799725,3.989319
0.15999999998894054,-2.799878,3.987793
0.33999999999650754,-2.800183,3.986572
0.5399999999935972,-2.799878,3.985046
0.9599999999918509,-2.800183,3.983825
1.3499999999912689,-2.800183,3.982605
1.7299999999959255,-2.800031,3.981689
2.0800000000017462,-2.800031,3.980774
2.5800000000017462,-2.799878,3.979858
3.099999999991269,-2.799878,3.978943
3.6699999999982538,-2.799878,3.977722
4.669999999998254,-2.799878,3.976501
5.569999999992433,-2.800183,3.975586
6.419999999998254,-2.799878,3.97467
7.309999999997672,-2.800031,3.973754
8.549999999988358,-2.799878,3.972839
9.479999999995925,-2.800031,3.971923
10.69999999999709,-2.799725,3.971008
12.129999999990105,-2.799878,3.970092
13.489999999990687,-2.800031,3.969177
15.239999999990687,-2.800031,3.968261
17.019999999989523,-2.800031,3.967346
19.229999999995925,-2.800031,3.966125
22.470000000001164,-2.799878,3.965209
23.989999999990687,-2.800031,3.964294
26.20999999999185,-2.800031,3.963378
29.14999999999418,-2.800031,3.962463
31.869999999995343,-2.800031,3.961242
36.330000000001746,-2.799878,3.960327
40.13999999999942,-2.800183,3.959411
43.76999999998952,-2.800031,3.95819
48.33999999999651,-2.799878,3.95697
53.919999999998254,-2.800031,3.956054
56.90999999998894,-2.799878,3.955138
62.61000000000058,-2.800031,3.953918
68.84999999999127,-2.800031,3.952697
74.39999999999418,-2.800183,3.951781
79.84999999999127,-2.799725,3.950866
85.77999999999884,-2.800031,3.949645
93.64999999999418,-2.800031,3.94873
99.43999999998778,-2.799878,3.947509
105.50999999999476,-2.800183,3.946593
111.39999999999418,-2.800031,3.945678
117.64999999999418,-2.800031,3.944762
124.20999999999185,-2.799878,3.943847
130.56999999999243,-2.799878,3.942931
136.3799999999901,-2.800183,3.942016
142.75999999999476,-2.799878,3.9411
148.27999999999884,-2.799878,3.940185
155.0,-2.800031,3.939269
160.51999999998952,-2.800031,3.938048
167.72999999999593,-2.799878,3.936828
175.6999999999971,-2.800031,3.935912
180.29999999998836,-2.799878,3.934997
186.9499999999971,-2.799725,3.934081
192.4499999999971,-2.799878,3.933165
198.77999999999884,-2.799878,3.93225
203.5,-2.799725,3.931334
208.58000000000175,-2.800031,3.930419
212.79999999998836,-2.800031,3.929503
217.02999999999884,-2.800031,3.928588
222.6299999999901,-2.799725,3.927672
227.51999999998952,-2.800031,3.926452
234.29999999998836,-2.800031,3.925231
239.63999999999942,-2.800183,3.924315
244.67999999999302,-2.800031,3.9234
248.81999999999243,-2.799878,3.922484
252.86000000000058,-2.800031,3.921569
256.9399999999878,-2.800183,3.920653
259.75,-2.799878,3.919738
263.83000000000175,-2.799878,3.918822
268.54999999998836,-2.800031,3.917906
271.5199999999895,-2.799878,3.916991
275.3600000000006,-2.800183,3.916075
280.04999999998836,-2.800031,3.91516
282.8600000000006,-2.800031,3.914244
287.1299999999901,-2.800183,3.913329
290.84999999999127,-2.800031,3.912413
293.3099999999977,-2.800183,3.911192
297.3799999999901,-2.799878,3.910277
301.56999999999243,-2.800183,3.909056
306.2399999999907,-2.800031,3.908141
309.7299999999959,-2.800031,3.907225
312.8799999999901,-2.800031,3.90631
316.02999999999884,-2.800183,3.905394
319.9399999999878,-2.800031,3.904479
322.77999999999884,-2.799878,3.903563
325.45999999999185,-2.800031,3.902647
329.0899999999965,-2.799878,3.901732
332.0899999999965,-2.799878,3.900816
335.0,-2.799878,3.899596
339.3999999999942,-2.799878,3.89868
342.04999999998836,-2.800031,3.897765
345.22000000000116,-2.799725,3.896849
348.2399999999907,-2.799878,3.895933
351.86999999999534,-2.800031,3.895018
353.97000000000116,-2.800031,3.894102
356.6399999999994,-2.799878,3.893187
359.8399999999965,-2.800183,3.892271
362.8799999999901,-2.799878,3.891356
365.429999999993,-2.799878,3.89044
368.8899999999994,-2.800031,3.889525
371.83000000000175,-2.800031,3.888609
374.58000000000175,-2.800336,3.887388
378.27999999999884,-2.799878,3.886473
380.8799999999901,-2.800031,3.885557
383.50999999999476,-2.799878,3.884642
386.1899999999878,-2.800183,3.883726
389.59999999999127,-2.799878,3.882506
393.2699999999895,-2.799878,3.88159
396.1499999999942,-2.799878,3.880674
398.8899999999994,-2.800031,3.879759
401.33000000000175,-2.799878,3.878843
404.3999999999942,-2.799878,3.877928
406.4499999999971,-2.799878,3.876707
409.2699999999895,-2.800031,3.875792
412.15999999998894,-2.800031,3.874876
415.0899999999965,-2.800031,3.873655
418.5399999999936,-2.799725,3.87274
421.429999999993,-2.799878,3.871824
424.47000000000116,-2.799725,3.870909
426.8799999999901,-2.799878,3.869993
429.4799999999959,-2.799878,3.869078
431.0,-2.800183,3.868162
433.90999999998894,-2.799725,3.867247
437.08000000000175,-2.800183,3.866331
439.3099999999977,-2.800031,3.865415
441.8099999999977,-2.799878,3.8645
444.56999999999243,-2.799878,3.863584
447.79999999998836,-2.800031,3.862669
450.1399999999994,-2.800031,3.861753
453.15999999998894,-2.799878,3.860533
456.16999999999825,-2.800031,3.859617
458.33000000000175,-2.799725,3.858701
460.7699999999895,-2.799878,3.857481
464.7299999999959,-2.800031,3.856565
467.20999999999185,-2.799878,3.85565
469.59999999999127,-2.799878,3.854734
471.81999999999243,-2.800031,3.853819
474.8600000000006,-2.800031,3.852903
477.70999999999185,-2.800031,3.851987
479.25,-2.799878,3.850767
482.97000000000116,-2.800031,3.849851
485.34999999999127,-2.800031,3.848936
488.06999999999243,-2.799725,3.84802
490.3899999999994,-2.800183,3.847105
493.3999999999942,-2.800183,3.846189
496.16999999999825,-2.799878,3.845274
498.61999999999534,-2.799878,3.844358
501.5,-2.800031,3.843442
503.8999999999942,-2.799878,3.842222
506.83000000000175,-2.800031,3.841306
509.09999999999127,-2.800031,3.840391
512.0399999999936,-2.800031,3.839475
514.6699999999983,-2.800031,3.83856
517.2299999999959,-2.800031,3.837644
520.2699999999895,-2.799878,3.836728
522.7699999999895,-2.799878,3.835813
525.0599999999977,-2.799878,3.834897
527.3099999999977,-2.800031,3.833982
529.5299999999988,-2.800031,3.833066
532.4499999999971,-2.799878,3.832151
535.4099999999889,-2.800031,3.831235
537.8099999999977,-2.799878,3.830014
541.1499999999942,-2.800031,3.829099
544.1899999999878,-2.799878,3.828183
547.2200000000012,-2.800031,3.827268
550.1199999999953,-2.800031,3.826352
552.9099999999889,-2.799878,3.825437
554.1499999999942,-2.799878,3.824521
557.4499999999971,-2.800183,3.823606
559.9799999999959,-2.799878,3.82269
562.9799999999959,-2.799725,3.821469
566.8300000000017,-2.799878,3.820249
