TestTime,Amps,Volts
0.0,-2.799725,3.987488
0.15999999997438863,-2.800183,3.985046
0.3799999999755528,-2.800031,3.98352
0.6499999999941792,-2.800183,3.9823
0.8799999999755528,-2.800031,3.981079
1.179999999993015,-2.800031,3.980163
1.5599999999976717,-2.799878,3.979248
1.9099999999743886,-2.800031,3.978027
2.4499999999825377,-2.800031,3.976806
3.2299999999813735,-2.800031,3.975891
3.679999999993015,-2.800031,3.974975
4.4799999999813735,-2.799878,3.97406
5.220000000001164,-2.799878,3.972839
6.209999999991851,-2.800031,3.971923
7.0899999999965075,-2.799878,3.971008
8.389999999984866,-2.800031,3.970092
9.64999999999418,-2.800031,3.969177
10.959999999991851,-2.799878,3.968261
12.559999999997672,-2.799725,3.967041
14.449999999982538,-2.799878,3.966125
16.339999999996508,-2.800031,3.965209
18.55999999999767,-2.799725,3.963989
20.50999999998021,-2.799878,3.963073
22.789999999979045,-2.800031,3.962158
24.70999999999185,-2.800031,3.961242
27.70999999999185,-2.800031,3.960327
31.079999999987194,-2.799878,3.959411
34.220000000001164,-2.799878,3.958495
37.329999999987194,-2.800031,3.957275
41.54999999998836,-2.799878,3.956359
44.29999999998836,-2.799878,3.955444
47.679999999993015,-2.799725,3.954528
51.15999999997439,-2.799878,3.953613
55.80999999999767,-2.800031,3.952392
60.85999999998603,-2.799878,3.951476
65.47999999998137,-2.799878,3.950561
69.44999999998254,-2.800031,3.949645
74.47999999998137,-2.800031,3.94873
79.9199999999837,-2.799878,3.947814
84.12999999997555,-2.800031,3.946899
87.94999999998254,-2.799878,3.945983
93.42999999999302,-2.800031,3.944762
99.34999999997672,-2.799878,3.943847
105.1699999999837,-2.800336,3.942931
109.94999999998254,-2.799878,3.942016
115.43999999997322,-2.799878,3.9411
121.11999999999534,-2.800031,3.940185
126.03999999997905,-2.799878,3.939269
131.3399999999965,-2.800031,3.938354
136.0,-2.800031,3.937438
140.4899999999907,-2.800031,3.936522
145.0,-2.799878,3.935607
150.03999999997905,-2.799725,3.934691
155.4899999999907,-2.800183,3.933776
161.34999999997672,-2.800183,3.93286
166.0099999999802,-2.800031,3.931945
170.47000000000116,-2.800031,3.931029
175.35999999998603,-2.800183,3.930114
178.97000000000116,-2.799878,3.929198
183.78999999997905,-2.800031,3.928283
