TestTime,Amps,Volts
0.0,-2.799878,3.988708
0.15999999991618097,-2.799878,3.967651
0.25,-2.799878,3.964294
0.35999999998603016,-2.800183,3.962158
0.5,-2.799878,3.960327
0.7099999999627471,-2.800031,3.958801
0.909999999916181,-2.799878,3.957885
1.1799999999348074,-2.799878,3.956664
1.3900000000139698,-2.800183,3.955749
1.659999999916181,-2.800183,3.954833
2.0,-2.800031,3.953613
2.4799999999813735,-2.799878,3.952697
2.8699999999953434,-2.800183,3.951781
3.3699999999953434,-2.799878,3.950561
3.89000000001397,-2.799725,3.949645
4.549999999930151,-2.799878,3.94873
5.029999999911524,-2.800031,3.947814
5.8299999999580905,-2.799878,3.946593
6.7700000000186265,-2.799878,3.945373
7.89000000001397,-2.800183,3.944457
8.819999999948777,-2.800031,3.943542
9.57999999995809,-2.799878,3.942626
10.520000000018626,-2.800031,3.941711
11.520000000018626,-2.799878,3.940795
13.04999999993015,-2.800031,3.939879
14.209999999962747,-2.800031,3.938964
15.949999999953434,-2.800031,3.938048
17.339999999967404,-2.800031,3.937133
18.849999999976717,-2.799878,3.936217
20.489999999990687,-2.800031,3.934997
22.760000000009313,-2.800183,3.934081
24.400000000023283,-2.800031,3.933165
25.85999999998603,-2.799878,3.93225
28.039999999920838,-2.799878,3.931334
29.739999999990687,-2.800031,3.930419
32.10999999998603,-2.799878,3.929198
35.39000000001397,-2.800031,3.928283
37.699999999953434,-2.800031,3.927367
40.0,-2.800031,3.926146
42.70999999996275,-2.799878,3.925231
44.90000000002328,-2.799878,3.924315
47.14000000001397,-2.800031,3.9234
49.45999999996275,-2.800031,3.922484
52.47999999998137,-2.799878,3.921569
54.90000000002328,-2.799725,3.920653
57.59999999997672,-2.800031,3.919738
59.98999999999069,-2.800031,3.918822
63.29999999993015,-2.800031,3.917906
65.59999999997672,-2.799878,3.916991
67.98999999999069,-2.799878,3.916075
70.19999999995343,-2.800031,3.91516
72.89000000001397,-2.800031,3.914244
75.82999999995809,-2.800031,3.913329
78.72999999998137,-2.799878,3.912413
81.32999999995809,-2.800031,3.911498
84.27999999991152,-2.799878,3.910582
87.25,-2.799725,3.909361
91.19999999995343,-2.799878,3.908446
93.5899999999674,-2.799878,3.90753
95.54999999993015,-2.800031,3.90631
99.95999999996275,-2.800183,3.905089
103.59999999997672,-2.800183,3.904173
106.31999999994878,-2.800031,3.903258
109.27999999991152,-2.800031,3.902342
112.30999999993946,-2.800031,3.901427
115.01000000000931,-2.799878,3.900511
118.09999999997672,-2.799878,3.899596
120.77999999991152,-2.799878,3.89868
123.13000000000466,-2.800031,3.897765
126.0,-2.800183,3.896849
129.02999999991152,-2.800031,3.895933
131.40000000002328,-2.800031,3.895018
134.8399999999674,-2.800183,3.894102
137.47999999998137,-2.799878,3.893187
140.79999999993015,-2.800031,3.892271
143.3399999999674,-2.799878,3.891356
146.3399999999674,-2.800031,3.89044
148.94999999995343,-2.799878,3.889525
151.85999999998603,-2.799878,3.888609
154.35999999998603,-2.800183,3.887694
156.90000000002328,-2.799878,3.886778
160.52000000001863,-2.799878,3.885863
163.43999999994412,-2.800031,3.884947
166.46999999997206,-2.800031,3.884031
169.4299999999348,-2.800031,3.883116
171.81999999994878,-2.799878,3.8822
174.85999999998603,-2.800031,3.881285
176.54999999993015,-2.800031,3.880369
179.43999999994412,-2.799878,3.879454
183.0899999999674,-2.800183,3.878538
185.52999999991152,-2.800183,3.877623
188.2399999999907,-2.800031,3.876402
191.63000000000466,-2.800031,3.875486
195.09999999997672,-2.800031,3.874571
197.68999999994412,-2.800031,3.873655
200.93999999994412,-2.799878,3.87274
202.56999999994878,-2.800031,3.871824
205.19999999995343,-2.799878,3.870909
207.59999999997672,-2.800031,3.869993
211.14000000001397,-2.800031,3.869078
214.18999999994412,-2.799878,3.868162
217.02000000001863,-2.800031,3.867247
219.7600000000093,-2.799878,3.866026
223.05999999993946,-2.800031,3.86511
226.45999999996275,-2.799878,3.864195
228.05999999993946,-2.800031,3.863279
230.6699999999255,-2.799878,3.862364
233.4899999999907,-2.800031,3.861448
236.28999999992084,-2.799878,3.860533
239.35999999998603,-2.799878,3.859617
242.11999999999534,-2.800031,3.858701
244.31999999994878,-2.799878,3.857786
247.65999999991618,-2.799878,3.85687
250.1799999999348,-2.800031,3.855955
252.88000000000466,-2.799878,3.855039
254.97999999998137,-2.800183,3.854124
257.85999999998603,-2.799878,3.853208
260.75,-2.799878,3.852293
263.60999999998603,-2.799878,3.851377
266.0799999999581,-2.800031,3.850462
268.6699999999255,-2.800031,3.849546
271.61999999999534,-2.799878,3.848631
274.1899999999441,-2.800031,3.847715
276.85999999998603,-2.800031,3.846799
278.9099999999162,-2.799878,3.845579
282.5799999999581,-2.799878,3.844358
285.8199999999488,-2.799725,3.843442
288.9399999999441,-2.800031,3.842527
291.4399999999441,-2.800031,3.841611
