TestTime,Amps,Volts
0.0,-2.799268,3.9823
0.15999999968335032,-2.799725,3.956054
0.2599999997764826,-2.799878,3.951171
0.35999999986961484,-2.799878,3.948425
0.4699999997392297,-2.800183,3.945983
0.6599999996833503,-2.799878,3.944457
0.9099999996833503,-2.799878,3.942931
1.1099999998696148,-2.800031,3.942016
1.3399999998509884,-2.800031,3.940795
1.6099999998696148,-2.800031,3.939574
1.9499999997206032,-2.800031,3.938659
2.319999999832362,-2.799878,3.937438
2.779999999795109,-2.799878,3.936522
3.1999999997206032,-2.800031,3.935607
3.7599999997764826,-2.799878,3.934386
4.239999999757856,-2.799878,3.933165
4.899999999906868,-2.799878,3.93225
5.569999999832362,-2.800031,3.931029
6.509999999776483,-2.800031,3.930114
7.289999999571592,-2.799878,3.929198
8.15999999968335,-2.800031,3.928283
9.069999999832362,-2.800031,3.927367
10.059999999590218,-2.800183,3.926452
11.309999999590218,-2.800031,3.925231
12.399999999906868,-2.800183,3.924315
13.769999999552965,-2.800031,3.9234
15.0,-2.800031,3.922484
16.299999999813735,-2.800031,3.921569
17.96999999973923,-2.800183,3.920653
19.58999999985099,-2.799725,3.919738
21.15999999968335,-2.800031,3.918822
23.049999999813735,-2.800031,3.917601
25.43999999994412,-2.799878,3.916381
27.019999999552965,-2.799878,3.915465
28.979999999981374,-2.800183,3.914549
30.62999999988824,-2.799878,3.913634
33.579999999608845,-2.799878,3.912718
34.889999999664724,-2.800031,3.911803
37.21999999973923,-2.800031,3.910887
39.58999999985099,-2.800031,3.909972
42.08999999985099,-2.799878,3.909056
44.139999999664724,-2.799878,3.908141
46.34999999962747,-2.799878,3.90692
48.3699999996461,-2.800183,3.906004
51.25,-2.800031,3.905089
53.65999999968335,-2.800183,3.904173
55.77999999979511,-2.800031,3.903258
58.639999999664724,-2.799878,3.902342
61.329999999608845,-2.799878,3.901427
62.68999999994412,-2.800031,3.900511
65.67999999970198,-2.800031,3.899596
68.55999999959022,-2.800031,3.89868
70.6199999996461,-2.799878,3.897765
72.76999999955297,-2.799878,3.896849
75.59999999962747,-2.799725,3.895933
78.45999999996275,-2.799878,3.895018
80.71999999973923,-2.800031,3.894102
83.45999999996275,-2.800031,3.893187
86.31999999983236,-2.799878,3.892271
89.1999999997206,-2.800183,3.891356
92.03999999957159,-2.800031,3.89044
93.82999999960884,-2.800183,3.88922
96.96999999973923,-2.800183,3.888304
99.6999999997206,-2.799878,3.887083
103.4199999999255,-2.799878,3.886168
106.04999999981374,-2.799878,3.885252
108.95999999996275,-2.800031,3.884337
111.8699999996461,-2.800031,3.883421
114.45999999996275,-2.800031,3.882506
117.32999999960884,-2.800183,3.881285
120.23999999975786,-2.800031,3.880369
122.54999999981374,-2.800183,3.879454
125.65999999968335,-2.799878,3.878538
128.2899999995716,-2.800031,3.877623
130.46999999973923,-2.800183,3.876707
133.5399999995716,-2.800031,3.875792
135.97999999998137,-2.799878,3.874876
139.089999999851,-2.799878,3.87396
142.05999999959022,-2.800031,3.873045
144.75,-2.799878,3.872129
146.82999999960884,-2.800031,3.871214
149.07999999960884,-2.800031,3.870298
152.35999999986961,-2.799878,3.869383
154.8699999996461,-2.799725,3.868467
158.00999999977648,-2.800031,3.867552
160.92999999970198,-2.800031,3.866636
163.47999999998137,-2.800031,3.865721
166.1999999997206,-2.799878,3.864805
168.70999999996275,-2.799878,3.863584
172.23999999975786,-2.799725,3.862669
174.5,-2.800031,3.861753
177.54999999981374,-2.800031,3.860838
180.10999999986961,-2.799878,3.859922
183.15999999968335,-2.800031,3.858701
186.72999999998137,-2.800031,3.857786
189.5399999995716,-2.799878,3.85687
192.06999999983236,-2.800031,3.855955
195.26999999955297,-2.800183,3.855039
197.339999999851,-2.800031,3.854124
200.10999999986961,-2.800031,3.853208
202.71999999973923,-2.800031,3.852293
205.4199999999255,-2.800031,3.851377
208.21999999973923,-2.800031,3.850462
210.7899999995716,-2.799725,3.849546
213.90999999968335,-2.799878,3.848325
217.30999999959022,-2.799878,3.84741
219.90999999968335,-2.799878,3.846494
222.10999999986961,-2.800031,3.845579
224.1999999997206,-2.799878,3.844663
226.97999999998137,-2.800031,3.843748
229.9199999999255,-2.800031,3.842832
233.21999999973923,-2.800031,3.841611
236.00999999977648,-2.800031,3.840696
239.48999999975786,-2.800183,3.839475
243.0399999995716,-2.800031,3.83856
245.43999999994412,-2.800183,3.837644
247.4199999999255,-2.799878,3.836728
249.62999999988824,-2.799878,3.835813
252.4499999997206,-2.800031,3.834897
255.09999999962747,-2.800031,3.833982
257.73999999975786,-2.800031,3.833066
260.45999999996275,-2.800031,3.831846
263.79999999981374,-2.799725,3.83093
266.8699999996461,-2.800031,3.830014
269.1199999996461,-2.799878,3.829099
271.57999999960884,-2.800031,3.827878
274.79999999981374,-2.799725,3.826963
277.81999999983236,-2.799725,3.826047
280.07999999960884,-2.800183,3.825132
282.34999999962747,-2.799878,3.824216
285.1099999998696,-2.799878,3.823301
287.95999999996275,-2.799878,3.822385
290.89999999990687,-2.800031,3.821469
293.31999999983236,-2.799878,3.820554
294.9499999997206,-2.800031,3.819638
297.65999999968335,-2.800183,3.818418
301.34999999962747,-2.800031,3.817502
304.1699999999255,-2.800031,3.816587
306.5599999995902,-2.799878,3.815671
308.95999999996275,-2.800031,3.814755
311.84999999962747,-2.799878,3.81384
314.2899999995716,-2.800031,3.812924
316.95999999996275,-2.799878,3.812009
319.26999999955297,-2.800031,3.811093
321.23999999975786,-2.800031,3.810178
323.87999999988824,-2.800031,3.809262
326.6899999999441,-2.800031,3.808347
