TestTime,Amps,Volts,Temp 1
0.0,-2.800336,3.996948,
0.2000000000698492,-2.800031,3.995422,
0.4200000000419095,-2.799878,3.994202,
0.690000000060536,-2.799878,3.992676,
1.090000000083819,-2.799878,3.99176,
1.4200000000419095,-2.799573,3.990539,
1.8300000000745058,-2.800031,3.989319,
2.450000000069849,-2.800031,3.988098,
3.050000000046566,-2.799878,3.987182,
3.590000000083819,-2.799878,3.986267,
4.400000000023283,-2.800031,3.985351,
5.1100000001024455,-2.800031,3.984436,
6.1100000001024455,-2.800031,3.98352,
6.960000000079162,-2.799878,3.982605,
7.870000000111759,-2.800031,3.981689,
8.630000000004657,-2.799878,3.980774,
9.89000000001397,-2.800031,3.979553,
11.95000000006985,-2.800031,3.978332,
14.100000000093132,-2.800031,3.977417,
15.590000000083819,-2.799878,3.976501,
17.130000000004657,-2.800031,3.975586,
19.23000000009779,-2.799878,3.97467,
21.540000000037253,-2.800031,3.973754,
23.850000000093132,-2.800031,3.972534,
26.600000000093132,-2.800031,3.971618,
29.720000000088476,-2.799878,3.970703,
32.84000000008382,-2.799878,3.969787,
36.15000000002328,-2.799878,3.968872,
39.410000000032596,-2.799878,3.967956,
42.68000000005122,-2.799878,3.967041,
46.2400000001071,-2.799878,3.966125,
51.03000000002794,-2.800031,3.965209,
54.31000000005588,-2.800031,3.964294,
57.830000000074506,-2.800183,3.963378,
62.25,-2.799878,3.962463,
66.34000000008382,-2.799725,3.961547,
71.88000000000466,-2.799878,3.960632,
76.7400000001071,-2.799878,3.959716,
83.19000000006054,-2.799725,3.958801,
88.34000000008382,-2.800031,3.957885,
93.3300000000745,-2.800031,3.95697,
99.22000000008848,-2.799725,3.955749,
104.11000000010245,-2.800031,3.954833,
111.02000000001863,-2.799725,3.953918,
116.76000000000931,-2.799878,3.953002,
123.89000000001397,-2.799878,3.951781,
129.95000000006985,-2.800031,3.950866,
136.9900000001071,-2.799878,3.94995,
143.38000000000466,-2.799878,3.949035,
149.78000000002794,-2.799878,3.948119,
155.4800000000978,-2.800031,3.946899,
160.71000000007916,-2.799878,3.945983,
166.4900000001071,-2.800031,3.945068,
172.1600000000326,-2.799725,3.944152,
178.20000000006985,-2.800031,3.943236,
183.94000000006054,-2.799878,3.942321,
189.4100000000326,-2.800031,3.941405,
194.7400000001071,-2.800031,3.94049,
199.5800000000745,-2.799878,3.939574,
205.19000000006054,-2.799878,3.938659,
208.80000000004657,-2.800031,3.937743,
213.7400000001071,-2.799878,3.936828,
218.1600000000326,-2.800031,3.935607,
223.5800000000745,-2.799725,3.934691,
228.79000000003725,-2.800031,3.933776,
233.53000000002794,-2.799878,3.93286,
238.2600000000093,-2.799725,3.93164,
242.96000000007916,-2.800183,3.930724,
247.59000000008382,-2.800183,3.929808,
250.52000000001863,-2.799878,3.928893,
254.18000000005122,-2.799878,3.927977,
258.04000000003725,-2.800183,3.927062,
262.10000000009313,-2.800031,3.926146,
266.1500000000233,-2.800031,3.925231,
270.13000000000466,-2.800031,3.924315,
273.4900000001071,-2.799878,3.923095,
278.6600000000326,-2.799878,3.922179,
281.7400000001071,-2.800183,3.920958,
284.9000000000233,-2.799878,3.920043,
288.9300000000512,-2.800031,3.919127,
292.89000000001397,-2.800183,3.918212,
296.1800000000512,-2.799725,3.917296,
299.05000000004657,-2.800183,3.916381,
302.4700000000885,-2.799725,3.915465,
306.55000000004657,-2.799878,3.914244,
310.1600000000326,-2.799878,3.913329,
313.5900000000838,-2.799878,3.912413,
315.8100000000559,-2.800031,3.910887,
321.0,-2.799878,3.909667,
325.61000000010245,-2.800031,3.908751,
328.75,-2.800031,3.907836,
331.94000000006054,-2.800031,3.90692,
335.04000000003725,-2.800183,3.905699,
338.8300000000745,-2.799878,3.904784,
342.37000000011176,-2.800031,3.903868,
344.36000000010245,-2.799878,3.902953,
347.25,-2.800031,3.902037,
350.19000000006054,-2.800183,3.901122,
352.9700000000885,-2.799878,3.900206,
356.1700000000419,-2.800031,3.898985,
359.85000000009313,-2.800183,3.89807,
363.05000000004657,-2.800031,3.897154,
365.5800000000745,-2.800031,3.896239,
368.71000000007916,-2.800031,3.895323,
370.61000000010245,-2.799878,3.894408,
373.63000000000466,-2.800031,3.893492,
376.64000000001397,-2.799878,3.892576,
379.45000000006985,-2.800183,3.891661,
381.95000000006985,-2.799878,3.890745,
384.5800000000745,-2.799878,3.88983,
387.71000000007916,-2.800183,3.888914,
390.9200000000419,-2.799878,3.887999,
393.85000000009313,-2.800183,3.886778,
396.5700000000652,-2.800031,3.885863,
