TestTime,Amps,Volts
0.0,-2.800031,4.018921
0.15999999968335032,-2.800031,4.011597
0.30999999959021807,-2.799878,4.010071
0.529999999795109,-2.799878,4.008545
0.7199999997392297,-2.799878,4.007324
0.9899999997578561,-2.799878,4.006104
1.3899999996647239,-2.800336,4.004883
1.8399999998509884,-2.800031,4.003967
2.1299999998882413,-2.799878,4.003052
2.569999999832362,-2.800183,4.001831
3.239999999757856,-2.799878,4.00061
3.9399999999441206,-2.800031,3.999695
4.46999999973923,-2.800183,3.998474
5.3299999996088445,-2.800031,3.997253
6.169999999925494,-2.799725,3.996338
6.889999999664724,-2.79942,3.995422
7.849999999627471,-2.799878,3.994507
8.869999999646097,-2.800031,3.993591
9.93999999994412,-2.800183,3.992676
10.989999999757856,-2.800031,3.99176
12.539999999571592,-2.800183,3.990234
14.289999999571592,-2.799725,3.989319
15.869999999646097,-2.799878,3.988403
17.519999999552965,-2.799725,3.987488
19.119999999646097,-2.800031,3.986267
21.699999999720603,-2.800031,3.985046
24.58999999985099,-2.800031,3.984131
26.77999999979511,-2.799878,3.983215
29.149999999906868,-2.800031,3.9823
30.889999999664724,-2.800183,3.981079
33.989999999757856,-2.800031,3.980163
37.0,-2.799878,3.979248
39.68999999994412,-2.799878,3.978332
42.799999999813735,-2.800183,3.977417
45.90999999968335,-2.800031,3.976501
48.3699999996461,-2.799878,3.975586
51.78999999957159,-2.800031,3.97467
55.77999999979511,-2.800031,3.973754
58.43999999994412,-2.799725,3.972839
60.53999999957159,-2.799878,3.971923
64.4499999997206,-2.799725,3.971008
67.98999999975786,-2.800031,3.970092
71.80999999959022,-2.799878,3.969177
75.26999999955297,-2.800031,3.968261
79.6199999996461,-2.799878,3.967346
82.97999999998137,-2.800183,3.96643
86.67999999970198,-2.800031,3.965515
90.25,-2.799878,3.964294
93.56999999983236,-2.800031,3.963378
97.82999999960884,-2.799878,3.962463
102.03999999957159,-2.799878,3.961547
105.68999999994412,-2.800031,3.960632
109.51999999955297,-2.799725,3.959716
113.83999999985099,-2.800031,3.958801
117.39999999990687,-2.800031,3.957885
121.1999999997206,-2.800183,3.95697
124.83999999985099,-2.800031,3.956054
127.60999999986961,-2.800183,3.955138
131.26999999955297,-2.799878,3.953918
136.14999999990687,-2.800031,3.953002
140.06999999983236,-2.800183,3.951781
144.93999999994412,-2.800031,3.950866
149.0,-2.800031,3.94995
152.2899999995716,-2.800031,3.949035
156.5,-2.800031,3.948119
159.93999999994412,-2.800031,3.946593
164.98999999975786,-2.800031,3.945678
167.7899999995716,-2.799878,3.944762
171.95999999996275,-2.800031,3.943847
175.76999999955297,-2.800183,3.942931
179.70999999996275,-2.800031,3.942016
182.60999999986961,-2.800031,3.9411
186.17999999970198,-2.800031,3.940185
189.57999999960884,-2.799878,3.939269
192.98999999975786,-2.800031,3.938354
195.95999999996275,-2.800031,3.937438
199.14999999990687,-2.799878,3.936217
203.25,-2.799878,3.935302
207.0,-2.799878,3.934386
210.04999999981374,-2.800031,3.933471
214.00999999977648,-2.799878,3.93225
218.17999999970198,-2.800031,3.931334
221.25999999977648,-2.800183,3.930419
223.95999999996275,-2.799878,3.929503
226.79999999981374,-2.800031,3.928588
230.40999999968335,-2.799878,3.927672
233.65999999968335,-2.799878,3.926757
236.25,-2.800031,3.925841
240.31999999983236,-2.800031,3.924926
243.62999999988824,-2.800031,3.92401
246.50999999977648,-2.800031,3.923095
249.589999999851,-2.800031,3.922179
253.01999999955297,-2.800183,3.921263
255.1699999999255,-2.800031,3.920348
257.8899999996647,-2.799878,3.919432
261.45999999996275,-2.800031,3.918517
264.2599999997765,-2.800031,3.917601
267.4499999997206,-2.800183,3.916686
270.1999999997206,-2.799878,3.91577
273.5099999997765,-2.800031,3.914855
276.79999999981374,-2.800183,3.913939
279.6099999998696,-2.800183,3.913024
282.64999999990687,-2.799725,3.911803
285.73999999975786,-2.800183,3.910887
288.4499999997206,-2.800183,3.909972
291.23999999975786,-2.800031,3.909056
294.75,-2.800031,3.908141
298.0299999997951,-2.800031,3.907225
300.73999999975786,-2.799725,3.90631
303.21999999973923,-2.800031,3.905394
306.179999999702,-2.799878,3.904173
