TestTime,Amps,Volts
0.0,-2.799878,3.989929
0.1600000001490116,-2.800031,3.971923
0.26000000024214387,-2.799725,3.968872
0.3799999998882413,-2.800183,3.967041
0.5400000000372529,-2.800031,3.965515
0.7999999998137355,-2.799878,3.963989
1.040000000037253,-2.800031,3.962768
1.3500000000931323,-2.800031,3.961547
1.720000000204891,-2.800031,3.960327
2.0600000000558794,-2.800031,3.959106
2.430000000167638,-2.799878,3.95819
2.8100000000558794,-2.800031,3.957275
3.2400000002235174,-2.799878,3.956359
3.8500000000931323,-2.799878,3.955444
4.490000000223517,-2.799878,3.954528
5.089999999850988,-2.799878,3.953307
6.0499999998137355,-2.800031,3.951781
7.080000000074506,-2.800031,3.950866
7.830000000074506,-2.800031,3.94995
8.970000000204891,-2.800183,3.94873
10.25,-2.800031,3.947814
11.299999999813735,-2.800031,3.946593
12.990000000223517,-2.800031,3.945373
14.859999999869615,-2.799878,3.944152
16.819999999832362,-2.800031,3.943236
18.25,-2.799878,3.941711
20.78000000026077,-2.800031,3.94049
23.149999999906868,-2.799878,3.939574
25.240000000223517,-2.799878,3.938659
27.290000000037253,-2.800183,3.937743
29.25,-2.800031,3.936828
31.319999999832362,-2.799878,3.935912
33.41000000014901,-2.800031,3.934997
35.81000000005588,-2.800031,3.934081
38.12999999988824,-2.800031,3.93286
40.99000000022352,-2.800031,3.931945
42.97999999998137,-2.800183,3.931029
45.72000000020489,-2.800031,3.930114
48.169999999925494,-2.800031,3.929198
50.919999999925494,-2.800031,3.928283
53.919999999925494,-2.800031,3.927367
56.03000000026077,-2.800183,3.926452
59.18000000016764,-2.800031,3.925536
61.5,-2.800031,3.92462
64.06999999983236,-2.799878,3.9234
67.29999999981374,-2.800183,3.922484
70.31999999983236,-2.800031,3.921569
72.97999999998137,-2.800031,3.920653
76.39999999990687,-2.799878,3.919738
79.39000000013039,-2.799725,3.918822
82.29000000003725,-2.799878,3.917906
84.89999999990687,-2.800183,3.916991
87.43999999994412,-2.800031,3.916075
89.93000000016764,-2.799878,3.91516
92.87000000011176,-2.800031,3.914244
95.77000000001863,-2.800183,3.913329
99.08999999985099,-2.800031,3.912413
101.47999999998137,-2.800031,3.911192
105.91000000014901,-2.799878,3.910277
108.72999999998137,-2.799725,3.909361
111.85000000009313,-2.800031,3.908446
114.97000000020489,-2.799878,3.907225
117.81999999983236,-2.800031,3.90631
120.95000000018626,-2.800031,3.905394
123.83999999985099,-2.800031,3.904479
127.14000000013039,-2.800031,3.903563
130.53000000026077,-2.799878,3.902647
133.3300000000745,-2.799725,3.901732
135.9700000002049,-2.799878,3.900816
139.31999999983236,-2.799878,3.899901
142.45000000018626,-2.800031,3.89868
145.45000000018626,-2.800031,3.897765
148.03000000026077,-2.799878,3.896849
151.54999999981374,-2.800183,3.895933
154.45000000018626,-2.800031,3.894713
158.5800000000745,-2.800031,3.893797
161.4700000002049,-2.799878,3.892576
165.37000000011176,-2.800183,3.891661
168.25,-2.799878,3.890745
170.68999999994412,-2.799878,3.88983
173.53000000026077,-2.800031,3.888914
176.4700000002049,-2.799878,3.887999
179.28000000026077,-2.799878,3.887083
182.54000000003725,-2.800031,3.886168
185.089999999851,-2.800031,3.885252
187.9700000002049,-2.800031,3.884337
191.22999999998137,-2.799878,3.883116
195.04000000003725,-2.800031,3.8822
197.53000000026077,-2.800031,3.88098
200.62999999988824,-2.799878,3.880064
204.18999999994412,-2.800031,3.879149
207.2200000002049,-2.799878,3.878233
210.160000000149,-2.800031,3.877317
212.43999999994412,-2.800031,3.876097
216.01000000024214,-2.799878,3.875181
219.35999999986961,-2.800031,3.874266
222.22999999998137,-2.799878,3.87335
225.12000000011176,-2.800031,3.872435
227.10999999986961,-2.800031,3.871519
229.37000000011176,-2.799878,3.870603
232.1699999999255,-2.799878,3.869688
235.3300000000745,-2.800031,3.868772
238.60999999986961,-2.800183,3.867857
241.5800000000745,-2.800031,3.866636
244.70999999996275,-2.799573,3.865721
247.77000000001863,-2.799878,3.864805
250.60999999986961,-2.799725,3.86389
252.45999999996275,-2.799878,3.862974
255.45000000018626,-2.800183,3.862058
258.2200000002049,-2.800031,3.861143
261.089999999851,-2.799878,3.860227
263.43000000016764,-2.800031,3.859312
266.2400000002235,-2.799878,3.858396
269.589999999851,-2.799878,3.857481
271.9700000002049,-2.799878,3.85626
275.54999999981374,-2.799878,3.855039
278.60000000009313,-2.800031,3.854124
281.339999999851,-2.800031,3.853208
284.20999999996275,-2.799878,3.852293
287.43000000016764,-2.800031,3.851377
289.43000000016764,-2.800031,3.850462
292.04999999981374,-2.800031,3.849546
