TestTime,Amps,Volts,Temp 1
0.0,-2.800336,3.988403,
0.15999999991618097,-2.799878,3.986572,
0.2999999998137355,-2.799878,3.985657,
0.5200000000186265,-2.799878,3.984436,
0.8799999998882413,-2.800031,3.983215,
1.1299999998882413,-2.800031,3.981994,
1.4299999999348074,-2.799878,3.981079,
1.9199999999254942,-2.799878,3.980163,
2.359999999869615,-2.800031,3.979248,
2.8799999998882413,-2.799878,3.978332,
3.3799999998882413,-2.799725,3.977417,
4.1399999998975545,-2.800031,3.976501,
4.959999999962747,-2.800031,3.975586,
5.689999999944121,-2.800031,3.97467,
6.579999999841675,-2.799725,3.973754,
7.349999999860302,-2.799878,3.972534,
8.839999999850988,-2.799725,3.971618,
10.0,-2.799878,3.970703,
11.369999999878928,-2.799878,3.969787,
13.099999999860302,-2.800031,3.968872,
14.989999999990687,-2.800183,3.967956,
16.899999999906868,-2.799878,3.966735,
19.270000000018626,-2.800031,3.96582,
21.58999999985099,-2.799878,3.964904,
23.90999999991618,-2.799878,3.963989,
26.289999999804422,-2.800031,3.963073,
29.270000000018626,-2.799878,3.962158,
32.70999999996275,-2.800183,3.960937,
37.5999999998603,-2.799878,3.960021,
41.71999999997206,-2.800031,3.959106,
45.40999999991618,-2.800031,3.95819,
48.92999999993481,-2.799878,3.957275,
53.73999999999069,-2.800183,3.956359,
57.549999999813735,-2.800031,3.955444,
61.53000000002794,-2.799878,3.954528,
66.97999999998137,-2.799725,3.953613,
72.53000000002794,-2.799878,3.952697,
77.80999999982305,-2.800031,3.951781,
82.97999999998137,-2.800031,3.950866,
89.5999999998603,-2.799878,3.94995,
95.78999999980442,-2.800031,3.949035,
101.81999999983236,-2.800336,3.948119,
107.39999999990687,-2.799878,3.947204,
111.53000000002794,-2.799878,3.946288,
118.6699999999255,-2.800031,3.945373,
125.65999999991618,-2.799878,3.944457,
132.63999999989755,-2.799878,3.943236,
141.43999999994412,-2.800031,3.942321,
147.07999999984168,-2.799878,3.941405,
154.21999999997206,-2.800183,3.94049,
160.22999999998137,-2.800031,3.939574,
167.52000000001863,-2.799878,3.938659,
172.55999999982305,-2.799878,3.937743,
178.44999999995343,-2.799878,3.936828,
185.0,-2.800031,3.935912,
191.02000000001863,-2.800031,3.934997,
197.04999999981374,-2.800031,3.934081,
203.25,-2.799725,3.933165,
209.0999999998603,-2.799878,3.93225,
215.36999999987893,-2.799878,3.931334,
220.6699999999255,-2.799878,3.930419,
225.38999999989755,-2.800183,3.929198,
231.20999999996275,-2.800031,3.928283,
236.78999999980442,-2.800031,3.927367,
242.0100000000093,-2.800031,3.926452,
246.53999999980442,-2.800031,3.925536,
251.07999999984168,-2.799725,3.92462,
255.88999999989755,-2.800031,3.923705,
260.4199999999255,-2.799878,3.922789,
264.79999999981374,-2.800183,3.921874,
268.6699999999255,-2.800183,3.920348,
268.8499999998603,-2.799725,3.921263,
269.56999999983236,-2.800183,3.920348,
274.25,-2.800031,3.919432,
279.1099999998696,-2.799878,3.918517,
282.5399999998044,-2.800031,3.917601,
286.4799999999814,-2.799725,3.916686,
290.7600000000093,-2.800031,3.915465,
295.37999999988824,-2.800031,3.914549,
299.0399999998044,-2.800031,3.913634,
303.29999999981374,-2.800031,3.912718,
306.3499999998603,-2.799878,3.911498,
310.46999999997206,-2.799878,3.910582,
314.089999999851,-2.800031,3.909667,
317.04999999981374,-2.800031,3.908751,
320.7899999998044,-2.800183,3.90753,
325.19999999995343,-2.799878,3.906615,
328.2899999998044,-2.800183,3.905699,
331.6899999999441,-2.799725,3.904784,
335.2600000000093,-2.800183,3.903868,
337.0,-2.799878,3.902953,
340.8299999998417,-2.799878,3.902037,
343.9399999999441,-2.799878,3.900816,
348.0999999998603,-2.799878,3.899901,
350.56999999983236,-2.800031,3.898985,
353.54999999981374,-2.799878,3.89807,
357.2899999998044,-2.800183,3.897154,
360.20999999996275,-2.800031,3.896239,
363.45999999996275,-2.800031,3.895323,
365.2700000000186,-2.799878,3.894408,
368.1799999999348,-2.800183,3.893492,
371.5399999998044,-2.800183,3.892576,
