TestTime,Amps,Volts
0.0,-2.800641,3.985962
0.1600000001490116,-2.800031,3.965209
0.26000000024214387,-2.800031,3.961242
0.39000000013038516,-2.799878,3.959106
0.5400000000372529,-2.800031,3.957275
0.7000000001862645,-2.800031,3.956359
0.8800000003539026,-2.800031,3.955444
1.0600000000558794,-2.800031,3.954528
1.3200000002980232,-2.799878,3.953307
1.6700000003911555,-2.800031,3.952087
2.0500000002793968,-2.799878,3.951171
2.2700000000186265,-2.800031,3.94995
2.730000000447035,-2.800031,3.949035
3.180000000167638,-2.800031,3.947814
3.760000000242144,-2.799878,3.946899
4.2700000000186265,-2.800031,3.945983
4.900000000372529,-2.800031,3.945068
5.650000000372529,-2.800031,3.944152
6.370000000111759,-2.800031,3.943236
7.060000000055879,-2.800031,3.942016
7.860000000335276,-2.799878,3.940795
9.160000000149012,-2.799878,3.939879
10.140000000130385,-2.799878,3.938659
11.84000000031665,-2.800031,3.937743
12.59000000031665,-2.800183,3.936828
14.220000000204891,-2.800183,3.935912
15.490000000223517,-2.800031,3.934691
17.440000000409782,-2.800031,3.933776
18.610000000335276,-2.800031,3.93286
20.070000000298023,-2.799878,3.931945
21.640000000130385,-2.799878,3.931029
23.600000000093132,-2.800031,3.930114
25.480000000447035,-2.800031,3.929198
27.420000000391155,-2.799878,3.928283
29.890000000130385,-2.799878,3.927367
31.28000000026077,-2.799878,3.926452
33.60000000009313,-2.800031,3.925536
35.69000000040978,-2.799878,3.924315
37.97000000020489,-2.800031,3.9234
40.610000000335276,-2.800031,3.922484
42.79000000003725,-2.799878,3.921569
45.25,-2.799878,3.920653
47.670000000391155,-2.800183,3.919738
50.140000000130385,-2.799878,3.918822
52.94000000040978,-2.799878,3.917601
55.56000000005588,-2.800031,3.916686
58.03000000026077,-2.800031,3.915465
60.93000000016764,-2.800031,3.914549
63.510000000242144,-2.799878,3.913634
66.40000000037253,-2.799878,3.912718
68.70000000018626,-2.800031,3.911803
71.77000000001863,-2.800031,3.910887
73.71000000042841,-2.800031,3.909972
77.06000000005588,-2.799878,3.909056
80.3000000002794,-2.799878,3.907836
82.84000000031665,-2.800031,3.906615
86.18000000016764,-2.800183,3.905699
88.92000000039116,-2.800031,3.904784
92.06000000005588,-2.800031,3.903563
95.73000000044703,-2.800031,3.902647
98.41000000014901,-2.799878,3.901732
100.8800000003539,-2.799878,3.900816
103.98000000044703,-2.800031,3.899901
106.93000000016764,-2.800031,3.898985
109.0,-2.799878,3.89807
111.74000000022352,-2.799878,3.897154
114.59000000031665,-2.799878,3.895933
117.72000000020489,-2.799878,3.895018
121.0,-2.799725,3.894102
124.01000000024214,-2.800031,3.893187
127.32000000029802,-2.800031,3.892271
129.6300000003539,-2.799878,3.891356
132.6300000003539,-2.800031,3.89044
